	v1	v2	cpg_1	cpg_2	ds_percent	siblings_percent	mothers_percent
0	0	3334	cg00001349	cg27639620	0.8275862068965517	0.0	0.3793103448275862
1	1	992	cg00007326	cg07434252	0.8620689655172413	0.034482758620689655	0.4482758620689655
2	2	1366	cg00015024	cg10317717	0.896551724137931	0.06896551724137931	0.3448275862068966
3	3	1707	cg00024382	cg13221899	0.9310344827586207	0.06896551724137931	0.4827586206896552
4	4	118	cg00031165	cg00755546	1.0	0.1724137931034483	0.5172413793103449
5	4	512	cg00031165	cg03636880	0.8275862068965517	0.0	0.3448275862068966
6	4	3098	cg00031165	cg25511667	0.896551724137931	0.034482758620689655	0.3793103448275862
7	5	2440	cg00035316	cg19288226	0.8275862068965517	0.0	0.6206896551724138
8	6	1095	cg00042144	cg08021615	0.9310344827586207	0.10344827586206896	0.41379310344827586
9	7	1366	cg00043005	cg10317717	0.9310344827586207	0.10344827586206896	0.3793103448275862
10	7	2266	cg00043005	cg17618092	0.8275862068965517	0.0	0.3793103448275862
11	8	232	cg00053507	cg01559770	0.8275862068965517	0.0	0.2413793103448276
12	9	1019	cg00056624	cg07598952	0.896551724137931	0.034482758620689655	0.4827586206896552
13	10	2229	cg00058879	cg17336139	0.8275862068965517	0.0	0.5862068965517241
14	11	3334	cg00061086	cg27639620	0.8275862068965517	0.0	0.3103448275862069
15	12	1019	cg00063006	cg07598952	0.9655172413793104	0.13793103448275862	0.6551724137931034
16	12	1596	cg00063006	cg12249575	0.9655172413793104	0.13793103448275862	0.6206896551724138
17	12	2121	cg00063006	cg16520815	1.0	0.1724137931034483	0.4827586206896552
18	12	2592	cg00063006	cg20863339	0.8620689655172413	0.034482758620689655	0.5517241379310345
19	13	3151	cg00065570	cg26108594	0.896551724137931	0.0	0.4827586206896552
20	14	1615	cg00065919	cg12464820	1.0	0.1724137931034483	0.6551724137931034
21	15	192	cg00071998	cg01204305	0.9655172413793104	0.13793103448275862	0.4827586206896552
22	16	445	cg00072711	cg03066930	0.896551724137931	0.06896551724137931	0.6206896551724138
23	17	1019	cg00078456	cg07598952	0.896551724137931	0.034482758620689655	0.5517241379310345
24	17	2201	cg00078456	cg17119930	0.8275862068965517	0.0	0.4482758620689655
25	17	3095	cg00078456	cg25452071	0.8275862068965517	0.0	0.41379310344827586
26	18	192	cg00090197	cg01204305	0.896551724137931	0.034482758620689655	0.20689655172413793
27	19	2661	cg00090261	cg21513385	0.9310344827586207	0.10344827586206896	0.6206896551724138
28	20	1790	cg00090764	cg13855261	0.8620689655172413	0.034482758620689655	0.41379310344827586
29	21	512	cg00095493	cg03636880	0.8620689655172413	0.034482758620689655	0.5517241379310345
30	22	2415	cg00107016	cg19002149	0.9310344827586207	0.10344827586206896	0.5517241379310345
31	23	391	cg00109551	cg02789965	0.9310344827586207	0.10344827586206896	0.6896551724137931
32	23	1148	cg00109551	cg08414635	0.896551724137931	0.06896551724137931	0.5172413793103449
33	23	2896	cg00109551	cg23601495	0.8620689655172413	0.034482758620689655	0.4827586206896552
34	24	1095	cg00115984	cg08021615	0.8620689655172413	0.034482758620689655	0.4827586206896552
35	25	222	cg00116946	cg01470323	0.896551724137931	0.034482758620689655	0.5862068965517241
36	25	718	cg00116946	cg05387189	0.8620689655172413	0.034482758620689655	0.3448275862068966
37	25	1372	cg00116946	cg10357989	0.8620689655172413	0.034482758620689655	0.3103448275862069
38	25	2201	cg00116946	cg17119930	0.8275862068965517	0.0	0.3793103448275862
39	26	1676	cg00138101	cg12989574	0.8275862068965517	0.0	0.4827586206896552
40	27	1507	cg00144335	cg11461298	0.9310344827586207	0.034482758620689655	0.4827586206896552
41	27	1707	cg00144335	cg13221899	1.0	0.10344827586206896	0.7586206896551724
42	27	2121	cg00144335	cg16520815	0.8275862068965517	0.0	0.3448275862068966
43	27	2629	cg00144335	cg21200353	0.8620689655172413	0.034482758620689655	0.3103448275862069
44	27	2697	cg00144335	cg21867345	0.8620689655172413	0.034482758620689655	0.6551724137931034
45	28	2155	cg00150882	cg16792800	0.9310344827586207	0.0	0.41379310344827586
46	29	1707	cg00151914	cg13221899	0.896551724137931	0.034482758620689655	0.3793103448275862
47	30	794	cg00152041	cg06065225	0.896551724137931	0.034482758620689655	0.3793103448275862
48	30	2007	cg00152041	cg15556748	0.8275862068965517	0.0	0.27586206896551724
49	30	3285	cg00152041	cg27254482	0.8275862068965517	0.0	0.6896551724137931
50	31	1095	cg00170343	cg08021615	0.9310344827586207	0.10344827586206896	0.5862068965517241
51	32	192	cg00171436	cg01204305	0.896551724137931	0.06896551724137931	0.20689655172413793
52	32	1569	cg00171436	cg12012356	0.8620689655172413	0.034482758620689655	0.4827586206896552
53	33	1707	cg00187414	cg13221899	0.8275862068965517	0.0	0.27586206896551724
54	33	2127	cg00187414	cg16562724	0.8620689655172413	0.0	0.4827586206896552
55	33	2155	cg00187414	cg16792800	0.8620689655172413	0.034482758620689655	0.4482758620689655
56	34	460	cg00187535	cg03152353	0.8620689655172413	0.0	0.20689655172413793
57	34	1234	cg00187535	cg09255910	0.8275862068965517	0.0	0.10344827586206896
58	34	1362	cg00187535	cg10283505	0.8620689655172413	0.034482758620689655	0.20689655172413793
59	34	1377	cg00187535	cg10372921	0.9655172413793104	0.13793103448275862	0.3448275862068966
60	34	1571	cg00187535	cg12049875	0.9655172413793104	0.13793103448275862	0.41379310344827586
61	34	1900	cg00187535	cg14619064	0.8275862068965517	0.0	0.20689655172413793
62	34	1952	cg00187535	cg15046062	0.9310344827586207	0.06896551724137931	0.1724137931034483
63	34	3124	cg00187535	cg25806655	0.896551724137931	0.034482758620689655	0.41379310344827586
64	34	3265	cg00187535	cg27074041	0.8275862068965517	0.0	0.06896551724137931
65	35	250	cg00194146	cg01682111	0.9310344827586207	0.10344827586206896	0.5517241379310345
66	36	232	cg00201670	cg01559770	0.9310344827586207	0.10344827586206896	0.3793103448275862
67	37	489	cg00224671	cg03456213	0.896551724137931	0.06896551724137931	0.5172413793103449
68	37	2121	cg00224671	cg16520815	0.896551724137931	0.06896551724137931	0.4827586206896552
69	38	1855	cg00236576	cg14369405	0.896551724137931	0.06896551724137931	0.5862068965517241
70	38	2053	cg00236576	cg15926671	0.9310344827586207	0.06896551724137931	0.5172413793103449
71	39	2258	cg00237475	cg17563034	0.8620689655172413	0.034482758620689655	0.41379310344827586
72	40	1019	cg00245789	cg07598952	0.896551724137931	0.06896551724137931	0.6206896551724138
73	41	2545	cg00255368	cg20322611	0.8620689655172413	0.034482758620689655	0.5862068965517241
74	42	2915	cg00268518	cg23690166	0.9655172413793104	0.13793103448275862	0.6551724137931034
75	43	1079	cg00284173	cg07909402	0.8275862068965517	0.0	0.6206896551724138
76	43	2466	cg00284173	cg19590227	0.8275862068965517	0.0	0.5172413793103449
77	43	3108	cg00284173	cg25687179	0.8275862068965517	0.0	0.3793103448275862
78	44	1377	cg00295572	cg10372921	0.9310344827586207	0.10344827586206896	0.7241379310344828
79	45	1377	cg00296080	cg10372921	0.9310344827586207	0.06896551724137931	0.2413793103448276
80	45	1707	cg00296080	cg13221899	0.9655172413793104	0.13793103448275862	0.41379310344827586
81	46	1095	cg00296189	cg08021615	0.896551724137931	0.034482758620689655	0.4482758620689655
82	47	232	cg00297767	cg01559770	0.896551724137931	0.0	0.3793103448275862
83	48	1644	cg00309178	cg12713583	0.8620689655172413	0.034482758620689655	0.3448275862068966
84	49	2783	cg00318865	cg22583967	0.9310344827586207	0.06896551724137931	0.6551724137931034
85	50	1707	cg00328075	cg13221899	0.8620689655172413	0.0	0.3103448275862069
86	51	936	cg00329748	cg07035333	0.8620689655172413	0.0	0.4482758620689655
87	52	519	cg00330170	cg03682712	0.8620689655172413	0.034482758620689655	0.20689655172413793
88	52	578	cg00330170	cg04149015	0.896551724137931	0.034482758620689655	0.3103448275862069
89	52	1038	cg00330170	cg07697597	0.8620689655172413	0.034482758620689655	0.3793103448275862
90	52	2013	cg00330170	cg15582789	0.9655172413793104	0.10344827586206896	0.20689655172413793
91	52	2406	cg00330170	cg18941818	0.9310344827586207	0.034482758620689655	0.2413793103448276
92	52	3046	cg00330170	cg24904303	0.896551724137931	0.06896551724137931	0.3793103448275862
93	53	2876	cg00340921	cg23460145	0.9310344827586207	0.06896551724137931	0.3448275862068966
94	54	1003	cg00343092	cg07537370	0.8275862068965517	0.0	0.27586206896551724
95	54	1019	cg00343092	cg07598952	0.8275862068965517	0.0	0.3103448275862069
96	55	192	cg00346556	cg01204305	0.8275862068965517	0.0	0.13793103448275862
97	56	2258	cg00347563	cg17563034	0.8620689655172413	0.034482758620689655	0.4482758620689655
98	57	1084	cg00355389	cg07936856	0.896551724137931	0.06896551724137931	0.6551724137931034
99	58	842	cg00356811	cg06430465	0.8620689655172413	0.0	0.2413793103448276
100	58	3151	cg00356811	cg26108594	0.8275862068965517	0.0	0.3103448275862069
101	59	2193	cg00357593	cg17062279	0.8620689655172413	0.0	0.5862068965517241
102	60	222	cg00367424	cg01470323	0.8275862068965517	0.0	0.4482758620689655
103	61	2896	cg00367532	cg23601495	0.896551724137931	0.06896551724137931	0.6206896551724138
104	62	318	cg00369061	cg02244695	0.8620689655172413	0.034482758620689655	0.5172413793103449
105	62	1554	cg00369061	cg11863536	0.896551724137931	0.06896551724137931	0.6206896551724138
106	62	2178	cg00369061	cg16976662	1.0	0.10344827586206896	0.7931034482758621
107	63	2201	cg00387156	cg17119930	0.8275862068965517	0.0	0.3793103448275862
108	64	1676	cg00390775	cg12989574	0.8275862068965517	0.0	0.41379310344827586
109	65	150	cg00394021	cg00960305	0.8620689655172413	0.034482758620689655	0.7241379310344828
