	v1	v2	cpg_1	cpg_2	ds_percent	siblings_percent	mothers_percent
0	0	166	cg00006032	cg01204305	0.8620689655172413	0.3448275862068966	0.034482758620689655
1	1	1190	cg00008647	cg09285095	0.8275862068965517	0.3103448275862069	0.0
2	2	1446	cg00011225	cg11528978	0.8275862068965517	0.2413793103448276	0.0
3	2	1518	cg00011225	cg12148647	0.8620689655172413	0.06896551724137931	0.034482758620689655
4	3	2056	cg00026974	cg17123534	0.9655172413793104	0.7241379310344828	0.13793103448275862
5	4	829	cg00036328	cg06277657	0.9655172413793104	0.5517241379310345	0.10344827586206896
6	4	1089	cg00036328	cg08263071	0.8620689655172413	0.5517241379310345	0.0
7	4	2820	cg00036328	cg24713204	0.8275862068965517	0.5172413793103449	0.0
8	5	207	cg00037400	cg01503065	0.8620689655172413	0.7241379310344828	0.034482758620689655
9	5	1777	cg00037400	cg14412322	0.8275862068965517	0.3448275862068966	0.0
10	6	1190	cg00037441	cg09285095	0.896551724137931	0.6551724137931034	0.06896551724137931
11	7	1889	cg00040588	cg15380358	0.8275862068965517	0.3448275862068966	0.0
12	8	1417	cg00053507	cg11240722	0.8620689655172413	0.3793103448275862	0.0
13	9	1436	cg00069242	cg11452653	0.8275862068965517	0.5172413793103449	0.0
14	9	2520	cg00069242	cg21784541	0.8275862068965517	0.4482758620689655	0.0
15	9	2888	cg00069242	cg25460262	0.8620689655172413	0.27586206896551724	0.034482758620689655
16	10	522	cg00082235	cg03703356	0.9655172413793104	0.5172413793103449	0.13793103448275862
17	11	329	cg00086266	cg02370605	1.0	0.5517241379310345	0.1724137931034483
18	12	1046	cg00089091	cg07928073	0.896551724137931	0.13793103448275862	0.06896551724137931
19	13	1345	cg00095870	cg10547057	0.9310344827586207	0.4827586206896552	0.10344827586206896
20	14	440	cg00111359	cg03199926	0.8275862068965517	0.3793103448275862	0.0
21	15	1089	cg00115288	cg08263071	0.8275862068965517	0.5517241379310345	0.0
22	15	2497	cg00115288	cg21595709	0.8620689655172413	0.27586206896551724	0.0
23	16	1190	cg00127167	cg09285095	0.8275862068965517	0.6206896551724138	0.0
24	16	1561	cg00127167	cg12448933	0.8275862068965517	0.2413793103448276	0.0
25	17	1648	cg00130393	cg13428516	0.9655172413793104	0.6551724137931034	0.13793103448275862
26	17	2497	cg00130393	cg21595709	0.8275862068965517	0.20689655172413793	0.0
27	18	2470	cg00134843	cg21286782	0.8275862068965517	0.5172413793103449	0.0
28	19	440	cg00142257	cg03199926	0.896551724137931	0.27586206896551724	0.06896551724137931
29	20	768	cg00150882	cg05678749	0.9310344827586207	0.6551724137931034	0.10344827586206896
30	21	2497	cg00151914	cg21595709	1.0	0.5517241379310345	0.10344827586206896
31	22	1304	cg00162231	cg10244976	0.8620689655172413	0.1724137931034483	0.034482758620689655
32	23	376	cg00172603	cg02746381	0.8275862068965517	0.5862068965517241	0.0
33	23	885	cg00172603	cg06667761	0.8275862068965517	0.5517241379310345	0.0
34	23	2431	cg00172603	cg20779964	0.8275862068965517	0.6206896551724138	0.0
35	23	2497	cg00172603	cg21595709	0.8620689655172413	0.41379310344827586	0.0
36	24	83	cg00174428	cg00582971	0.896551724137931	0.2413793103448276	0.0
37	24	354	cg00174428	cg02534363	0.8275862068965517	0.3103448275862069	0.0
38	24	479	cg00174428	cg03382304	0.8620689655172413	0.5862068965517241	0.034482758620689655
39	24	556	cg00174428	cg03969996	0.8620689655172413	0.6206896551724138	0.034482758620689655
40	24	798	cg00174428	cg06029308	0.9310344827586207	0.4827586206896552	0.10344827586206896
41	24	1069	cg00174428	cg08145067	0.8275862068965517	0.4482758620689655	0.0
42	24	1274	cg00174428	cg09963123	0.9310344827586207	0.3793103448275862	0.06896551724137931
43	24	1304	cg00174428	cg10244976	0.9310344827586207	0.5172413793103449	0.034482758620689655
44	24	1561	cg00174428	cg12448933	0.8275862068965517	0.2413793103448276	0.0
45	24	1620	cg00174428	cg13163919	0.8275862068965517	0.5172413793103449	0.0
46	24	1933	cg00174428	cg15896696	0.8620689655172413	0.41379310344827586	0.0
47	24	2059	cg00174428	cg17187521	0.8620689655172413	0.7241379310344828	0.034482758620689655
48	24	2274	cg00174428	cg19241689	0.9655172413793104	0.4827586206896552	0.10344827586206896
49	24	2312	cg00174428	cg19622662	0.8620689655172413	0.4482758620689655	0.0
50	24	2315	cg00174428	cg19638477	0.8620689655172413	0.3793103448275862	0.034482758620689655
51	24	2336	cg00174428	cg19806642	0.896551724137931	0.3103448275862069	0.0
52	24	2506	cg00174428	cg21645848	0.896551724137931	0.4827586206896552	0.06896551724137931
53	24	2520	cg00174428	cg21784541	0.9310344827586207	0.5862068965517241	0.10344827586206896
54	24	2697	cg00174428	cg23473904	0.8275862068965517	0.3793103448275862	0.0
55	24	2901	cg00174428	cg25618573	0.8620689655172413	0.4827586206896552	0.034482758620689655
56	25	2497	cg00174901	cg21595709	0.9655172413793104	0.5517241379310345	0.10344827586206896
57	26	2336	cg00183186	cg19806642	0.8620689655172413	0.13793103448275862	0.034482758620689655
58	26	2736	cg00183186	cg23901918	0.896551724137931	0.3448275862068966	0.034482758620689655
59	27	440	cg00183804	cg03199926	0.896551724137931	0.4827586206896552	0.034482758620689655
60	28	475	cg00189906	cg03371199	0.8275862068965517	0.3793103448275862	0.0
61	29	885	cg00196012	cg06667761	0.9655172413793104	0.5172413793103449	0.13793103448275862
62	30	567	cg00241663	cg04045079	0.9310344827586207	0.6896551724137931	0.10344827586206896
63	30	1777	cg00241663	cg14412322	0.8620689655172413	0.5172413793103449	0.034482758620689655
64	30	1997	cg00241663	cg16562724	0.896551724137931	0.20689655172413793	0.034482758620689655
65	30	2076	cg00241663	cg17346952	1.0	0.5862068965517241	0.1724137931034483
66	31	108	cg00250123	cg00711072	0.896551724137931	0.3793103448275862	0.034482758620689655
67	31	273	cg00250123	cg02038273	0.9310344827586207	0.2413793103448276	0.10344827586206896
68	31	1126	cg00250123	cg08572535	0.8275862068965517	0.3448275862068966	0.0
69	31	1855	cg00250123	cg15085899	0.896551724137931	0.4482758620689655	0.0
70	31	1933	cg00250123	cg15896696	0.8620689655172413	0.27586206896551724	0.034482758620689655
71	31	2059	cg00250123	cg17187521	0.8275862068965517	0.5172413793103449	0.0
72	32	1304	cg00254133	cg10244976	0.8620689655172413	0.2413793103448276	0.0
73	33	2497	cg00256374	cg21595709	0.9310344827586207	0.5862068965517241	0.10344827586206896
74	34	776	cg00260914	cg05786809	0.8275862068965517	0.3793103448275862	0.0
75	34	885	cg00260914	cg06667761	0.8620689655172413	0.3793103448275862	0.0
76	35	1069	cg00295572	cg08145067	0.8275862068965517	0.3793103448275862	0.0
77	36	367	cg00296080	cg02662277	0.9310344827586207	0.5172413793103449	0.10344827586206896
78	36	385	cg00296080	cg02825171	0.8620689655172413	0.3448275862068966	0.034482758620689655
79	36	388	cg00296080	cg02838178	0.896551724137931	0.3103448275862069	0.06896551724137931
80	36	684	cg00296080	cg04991036	0.896551724137931	0.5172413793103449	0.06896551724137931
81	36	685	cg00296080	cg04991805	0.896551724137931	0.5172413793103449	0.06896551724137931
82	36	768	cg00296080	cg05678749	0.9310344827586207	0.4827586206896552	0.10344827586206896
83	36	885	cg00296080	cg06667761	0.9310344827586207	0.5172413793103449	0.034482758620689655
84	36	1353	cg00296080	cg10603275	0.896551724137931	0.3448275862068966	0.034482758620689655
85	36	1588	cg00296080	cg12818557	0.9655172413793104	0.5517241379310345	0.13793103448275862
86	36	1595	cg00296080	cg12877723	0.9310344827586207	0.6896551724137931	0.10344827586206896
87	36	1596	cg00296080	cg12894649	0.9655172413793104	0.6896551724137931	0.13793103448275862
88	36	1944	cg00296080	cg15989068	0.9310344827586207	0.5862068965517241	0.10344827586206896
89	36	1960	cg00296080	cg16179952	0.9310344827586207	0.41379310344827586	0.10344827586206896
90	36	1997	cg00296080	cg16562724	0.896551724137931	0.20689655172413793	0.034482758620689655
91	36	2139	cg00296080	cg18023283	0.9655172413793104	0.4827586206896552	0.10344827586206896
92	36	2497	cg00296080	cg21595709	1.0	0.7586206896551724	0.1724137931034483
93	37	2457	cg00297832	cg21120539	0.9655172413793104	0.5172413793103449	0.13793103448275862
94	38	1304	cg00310215	cg10244976	0.8620689655172413	0.3448275862068966	0.034482758620689655
95	39	374	cg00311035	cg02742775	0.8275862068965517	0.4482758620689655	0.0
96	39	486	cg00311035	cg03456213	0.8275862068965517	0.20689655172413793	0.0
97	39	506	cg00311035	cg03555227	0.8275862068965517	0.7931034482758621	0.0
98	39	553	cg00311035	cg03962691	0.8275862068965517	0.7241379310344828	0.0
99	39	567	cg00311035	cg04045079	0.8275862068965517	0.5862068965517241	0.0
100	39	885	cg00311035	cg06667761	0.896551724137931	0.5862068965517241	0.034482758620689655
101	39	912	cg00311035	cg06836736	0.896551724137931	0.5172413793103449	0.06896551724137931
102	39	1849	cg00311035	cg15046062	0.9655172413793104	0.4827586206896552	0.034482758620689655
103	39	1997	cg00311035	cg16562724	0.8275862068965517	0.27586206896551724	0.0
104	39	2067	cg00311035	cg17241776	0.8620689655172413	0.4827586206896552	0.034482758620689655
105	39	2487	cg00311035	cg21511941	0.8620689655172413	0.3793103448275862	0.034482758620689655
106	39	2497	cg00311035	cg21595709	1.0	0.8275862068965517	0.13793103448275862
107	39	2762	cg00311035	cg24164563	0.8620689655172413	0.3103448275862069	0.0
108	39	3070	cg00311035	cg27258399	0.9655172413793104	0.41379310344827586	0.10344827586206896
109	40	909	cg00326131	cg06824727	0.8275862068965517	0.27586206896551724	0.0
110	40	1104	cg00326131	cg08410996	0.8275862068965517	0.034482758620689655	0.0
111	41	2312	cg00329039	cg19622662	0.896551724137931	0.3793103448275862	0.034482758620689655
112	42	553	cg00330170	cg03962691	0.896551724137931	0.4482758620689655	0.034482758620689655
113	42	628	cg00330170	cg04600618	0.896551724137931	0.3448275862068966	0.034482758620689655
114	42	760	cg00330170	cg05637536	0.896551724137931	0.5172413793103449	0.06896551724137931
115	42	885	cg00330170	cg06667761	0.896551724137931	0.6206896551724138	0.06896551724137931
116	42	944	cg00330170	cg07060233	0.896551724137931	0.3793103448275862	0.06896551724137931
117	42	1310	cg00330170	cg10269548	0.8620689655172413	0.27586206896551724	0.0
