	v1	v2	cpg_1	cpg_2	ds_percent	siblings_percent	mothers_percent
0	0	2566	cg00005083	cg21806242	0.5517241379310345	0.10344827586206896	0.9310344827586207
1	1	310	cg00012199	cg02550231	0.5862068965517241	0.034482758620689655	0.8620689655172413
2	1	1893	cg00012199	cg15473186	0.4827586206896552	0.034482758620689655	0.8620689655172413
3	2	612	cg00035316	cg04899175	0.3448275862068966	0.0	0.8275862068965517
4	2	1450	cg00035316	cg11831981	0.41379310344827586	0.0	0.8275862068965517
5	2	1876	cg00035316	cg15321396	0.5862068965517241	0.0	0.8620689655172413
6	2	2641	cg00035316	cg22660578	0.4482758620689655	0.0	0.8620689655172413
7	2	2842	cg00035316	cg24438644	0.7586206896551724	0.034482758620689655	0.896551724137931
8	3	2920	cg00043371	cg25397636	0.5862068965517241	0.06896551724137931	0.896551724137931
9	4	1165	cg00049047	cg09320690	0.4482758620689655	0.06896551724137931	0.896551724137931
10	5	117	cg00056628	cg00888479	0.4482758620689655	0.06896551724137931	0.9310344827586207
11	6	3148	cg00064950	cg27665659	0.7241379310344828	0.034482758620689655	0.8620689655172413
12	7	141	cg00065905	cg01085995	0.5862068965517241	0.0	0.8275862068965517
13	7	172	cg00065905	cg01287088	1.0	0.06896551724137931	0.896551724137931
14	7	864	cg00065905	cg06870531	0.4827586206896552	0.06896551724137931	0.896551724137931
15	7	936	cg00065905	cg07425568	0.5862068965517241	0.10344827586206896	0.9310344827586207
16	7	1165	cg00065905	cg09320690	0.4827586206896552	0.034482758620689655	0.8620689655172413
17	7	1240	cg00065905	cg09971184	0.5172413793103449	0.06896551724137931	0.896551724137931
18	7	1276	cg00065905	cg10272968	0.6896551724137931	0.034482758620689655	0.8620689655172413
19	7	1423	cg00065905	cg11527279	0.8620689655172413	0.034482758620689655	0.8620689655172413
20	7	1454	cg00065905	cg11852674	0.5862068965517241	0.034482758620689655	0.8620689655172413
21	7	1793	cg00065905	cg14565725	0.6896551724137931	0.06896551724137931	0.896551724137931
22	7	2073	cg00065905	cg17373321	0.5172413793103449	0.034482758620689655	0.9310344827586207
23	7	2436	cg00065905	cg20597820	0.4827586206896552	0.0	0.8620689655172413
